District,Drought_Risk,Drought_Actions,Drought_Fallback_Crop,CASA_Pred_1yr,SW_Monsoon_Actual_mm,SW_Monsoon_Normal_mm,GW_Dep_Ratio
Ariyalur,MEDIUM,SW monsoon 19% below normal. Recommend switching to Bajra for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 6.3m.,Bajra,5.267296,254.5,314.8,0.919897092616645
Chengalpattu,LOW,Proceed with standard Kuruvai calendar. Monitor SW monsoon progress bi-weekly from May 1. Fallback option if deficit develops: Groundnut.,Groundnut,3.6681194,619.8,398.3,0.47723980645360126
Chennai,MEDIUM,SW monsoon -74% below normal. Recommend switching to Rice for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 5.2m.,Rice,4.2062583,778.7,448.5,0.7852112676056338
Coimbatore,HIGH,SW monsoon 15% below normal with GW at 11.7m and 87% groundwater dependency. Mandatory switch to Jowar for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Jowar,11.681106,588.1,689.1,0.8717845219775138
Cuddalore,MEDIUM,SW monsoon -6% below normal. Recommend switching to Bajra for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 6.7m.,Bajra,5.6712036,376.3,355.7,0.6714114806828521
Dharmapuri,HIGH,SW monsoon 5% below normal with GW at 7.6m and 100% groundwater dependency. Mandatory switch to Jowar for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Jowar,7.55583,361.2,380.8,1.0
Dindigul,HIGH,SW monsoon -24% below normal with GW at 8.3m and 89% groundwater dependency. Mandatory switch to Jowar for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Jowar,8.332734,372.7,301.5,0.887579656126007
Erode,MEDIUM,SW monsoon 19% below normal. Recommend switching to Groundnut for Kuruvai as risk mitigation. Advise farmers to delay Kuruvai planting by 2 weeks pending June rainfall. Restrict pump hours to 8 hours per day if GW drops below 8.0m.,Groundnut,6.9836183,217.4,267.6,0.5920192258700046
Kallakurichi,HIGH,SW monsoon 4% below normal with GW at 8.2m and 85% groundwater dependency. Mandatory switch to Bajra for Kuruvai season (short-duration variety). Restrict pump operation to 6 hours per day from June 1. Activate district drought relief fund and MNREGS water conservation works. Prioritise drinking water supply over irrigation from May 15.,Bajra,8.227007,384.4,399.1,0.8536794759336331
Kanchipuram,LOW,Proceed with standard Kuruvai calendar. Monitor SW monsoon progress bi-weekly from May 1. Fallback option if deficit develops: Groundnut.,Groundnut,3.3383136,807.1,472.0,0.36490402476780187
